freq (Hz)	magnitude
2.790000E+2	8.117149E-2
2.800000E+2	5.682637E-2
2.810000E+2	9.770126E-2
2.820000E+2	6.342558E-2
2.830000E+2	8.828979E-2
2.840000E+2	9.430390E-2
2.850000E+2	6.900050E-2
2.860000E+2	1.113383E-1
2.870000E+2	8.128127E-2
2.880000E+2	1.006372E-1
2.890000E+2	1.234293E-1
2.900000E+2	7.083803E-2
2.910000E+2	1.389347E-1
2.920000E+2	1.095640E-1
2.930000E+2	1.463977E-1
2.940000E+2	1.621552E-1
2.950000E+2	1.583096E-1
2.960000E+2	2.057270E-1
2.970000E+2	2.119867E-1
2.980000E+2	2.654842E-1
2.990000E+2	3.207233E-1
3.000000E+2	4.083981E-1
3.010000E+2	5.885504E-1
3.020000E+2	7.600396E-1
3.030000E+2	1.117975E+0
3.040000E+2	1.082940E+0
3.050000E+2	9.568679E-1
3.060000E+2	6.120478E-1
3.070000E+2	4.131067E-1
3.080000E+2	3.293433E-1
3.090000E+2	2.695235E-1
3.100000E+2	2.246416E-1
3.110000E+2	2.888250E-1
3.120000E+2	1.858494E-1
3.130000E+2	2.289815E-1
3.140000E+2	1.988357E-1
3.150000E+2	1.706833E-1
3.160000E+2	2.440892E-1
3.170000E+2	1.354412E-1
3.180000E+2	2.496746E-1
3.190000E+2	2.179599E-1
3.200000E+2	1.737635E-1
3.210000E+2	3.036608E-1
3.220000E+2	1.413797E-1
3.230000E+2	3.103332E-1
3.240000E+2	2.818696E-1
3.250000E+2	2.195368E-1
3.260000E+2	4.096024E-1
3.270000E+2	1.871074E-1
3.280000E+2	4.296586E-1
3.290000E+2	3.960239E-1
3.300000E+2	3.178374E-1
3.310000E+2	6.068382E-1
3.320000E+2	2.853350E-1
3.330000E+2	6.844254E-1
3.340000E+2	6.509404E-1
3.350000E+2	5.637432E-1
3.360000E+2	1.140118E+0
3.370000E+2	5.880506E-1
3.380000E+2	1.590351E+0
3.390000E+2	1.773533E+0
3.400000E+2	2.070389E+0
3.410000E+2	7.176827E+0
3.420000E+2	1.232181E+1
3.430000E+2	5.870249E+0
3.440000E+2	2.553727E+0
3.450000E+2	1.389973E+0
3.460000E+2	1.719510E+0
3.470000E+2	6.257238E-1
3.480000E+2	1.088940E+0
3.490000E+2	7.629073E-1
3.500000E+2	5.542169E-1
3.510000E+2	7.859363E-1
3.520000E+2	3.230695E-1
3.530000E+2	6.137338E-1
3.540000E+2	4.499231E-1
3.550000E+2	3.558889E-1
3.560000E+2	5.129021E-1
3.570000E+2	2.214596E-1
3.580000E+2	4.313882E-1
3.590000E+2	3.193479E-1
3.600000E+2	2.668371E-1
3.610000E+2	3.788725E-1
3.620000E+2	1.670733E-1
3.630000E+2	3.331059E-1
3.640000E+2	2.491067E-1
3.650000E+2	2.161965E-1
3.660000E+2	3.045636E-1
3.670000E+2	1.373588E-1
3.680000E+2	2.734280E-1
3.690000E+2	1.996870E-1
3.700000E+2	1.805139E-1
3.710000E+2	2.474032E-1
3.720000E+2	1.067691E-1
3.730000E+2	2.062915E-1
3.740000E+2	1.702478E-1
3.750000E+2	1.528288E-1
3.760000E+2	2.236420E-1
3.770000E+2	1.079367E-1
3.780000E+2	2.059146E-1
3.790000E+2	1.559788E-1
3.800000E+2	1.426184E-1
3.810000E+2	1.973736E-1
3.820000E+2	9.847799E-2
3.830000E+2	1.857820E-1
3.840000E+2	1.387732E-1
3.850000E+2	1.308087E-1
3.860000E+2	1.775328E-1
3.870000E+2	9.138125E-2
3.880000E+2	1.687978E-1
3.890000E+2	1.251754E-1
3.900000E+2	1.209143E-1
3.910000E+2	1.623972E-1
3.920000E+2	8.666450E-2
3.930000E+2	1.574485E-1
3.940000E+2	1.147160E-1
3.950000E+2	1.143951E-1
3.960000E+2	1.489241E-1
3.970000E+2	8.101304E-2
3.980000E+2	1.439659E-1
3.990000E+2	1.060531E-1
4.000000E+2	1.075095E-1
4.010000E+2	1.369273E-1
4.020000E+2	7.809677E-2
4.030000E+2	1.346625E-1
